"Can't create new payment. Please contact to administrator","Can't create new payment. Please contact to administrator"
"The payment data and order data doesn't appear to match, please try again","The payment data and order data doesn't appear to match, please try again"
"There is error. Please contact store administrator for details","There is error. Please contact store administrator for details"
"Parameter amount is missing","Parameter amount is missing"
"Empty order items","Empty order items"
"Empty order item fields ","Empty order item fields "
"PaymentId is empty","PaymentId is empty"
"Order amount not equal with items total amount","Order amount not equal with items total amount"
"-- Please Select --","-- Please Select --"
"Invoice is not exists","Invoice is not exists"
"Dibs Charge id is empty","Dibs Charge id is empty"
"Order is not created","Order is not created"
"Transaction is not processed. Please contact administrator","Transaction is not processed. Please contact administrator"
"Payment ID","Payment ID"
"Payment Type","Payment Type"
"Masked Pan","Masked Pan"
"Email is not valid","Email is not valid"